English_Issues,English_Solutions
alone,Do all the things that make you happy. Hang with your family or friends if you can. Meet new people and be friendly with them. Find a volunteer opportunity as a way to feel less lonely. Join your university clubs to overcome loneliness with in-person connections.
isolate,Do all the things that make you happy. Hang with your family or friends if you can. Meet new people and be friendly with them. Find a volunteer opportunity as a way to feel less lonely. Join your university clubs to overcome loneliness with in-person connections.
isolated,Do all the things that make you happy. Hang with your family or friends if you can. Meet new people and be friendly with them. Find a volunteer opportunity as a way to feel less lonely. Join your university clubs to overcome loneliness with in-person connections.
isolates,Do all the things that make you happy. Hang with your family or friends if you can. Meet new people and be friendly with them. Find a volunteer opportunity as a way to feel less lonely. Join your university clubs to overcome loneliness with in-person connections.
restless,Manage your time. Prioritizing your activities can help you use your time well. Set aside time for yourself. Listen some light music
rest,Manage your time. Prioritizing your activities can help you use your time well. Set aside time for yourself. Listen some light music
freedom,Speak up for what you care about. Always be a volunteer. Participate fair trades in your university. Listen to others' stories. Stay connected with social movements
hide,Watch motivational speech. Talk to someone you trust. Share your feelings honestly
hides,Watch motivational speech. Talk to someone you trust. Share your feelings honestly
hiding,Watch motivational speech. Talk to someone you trust. Share your feelings honestly
shy,"Practice social behaviours like eye contact, confident body language, introductions, small talk, asking questions, and invitations with the people you feel most comfortable around. Smile. Rehearse what to say. "
reserve,"Keep it light. If others bring up your shyness, keep your tone casual. Stop self-sabotaging. Identify your strengths. Choose relationships carefully."
reserved,"Keep it light. If others bring up your shyness, keep your tone casual. Stop self-sabotaging. Identify your strengths. Choose relationships carefully."
quite,"Keep it light. If others bring up your shyness, keep your tone casual. Stop self-sabotaging. Identify your strengths. Choose relationships carefully."
silent,"Keep it light. If others bring up your shyness, keep your tone casual. Stop self-sabotaging. Identify your strengths. Choose relationships carefully."
insecure,Confront your feelings rather than avoid them. Prepare yourself for setbacks but don't let them control you. Embrace all of your characteristics and passions. Challenge your negative thoughts and think critically.
insecurity,Confront your feelings rather than avoid them. Prepare yourself for setbacks but don't let them control you. Embrace all of your characteristics and passions. Challenge your negative thoughts and think critically.
embarrass,Be kind to yourself. Confront the situation. Stay calm. Take a deep breath. Consider what you’ve learned. Laugh it off
embarrassed,Be kind to yourself. Confront the situation. Stay calm. Take a deep breath. Consider what you’ve learned. Laugh it off
embarrassment,Be kind to yourself. Confront the situation. Stay calm. Take a deep breath. Consider what you’ve learned. Laugh it off
nervoused,Be kind to yourself. Confront the situation. Stay calm. Take a deep breath. Consider what you’ve learned. Laugh it off
nervous,Be kind to yourself. Confront the situation. Stay calm. Take a deep breath. Consider what you’ve learned. Laugh it off
frighten,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.
fright,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.
frightening,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.
frightens,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.
frightened,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.
scary,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.
scare,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.
scares,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.
scaring,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.
scared,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.
terrify,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.
terrifying,"Study and practice relaxation techniques such as deep breathing, imagery, progressive muscle relaxation, and mindfulness meditation. Examine your values and live by them."
tensed,"Study and practice relaxation techniques such as deep breathing, imagery, progressive muscle relaxation, and mindfulness meditation. Examine your values and live by them."
tension,"Study and practice relaxation techniques such as deep breathing, imagery, progressive muscle relaxation, and mindfulness meditation. Examine your values and live by them."
breaking,"Check your expectations, and make sure they're realistic. Take yourself out of your own mind, and think about how other people might feel about things. Do exercises, yoga and meditation"
break,"Check your expectations, and make sure they're realistic. Take yourself out of your own mind, and think about how other people might feel about things. Do exercises, yoga and meditation"
abuse,"Thinking about and accepting your past abuse can be very difficult, but it's the first step to healing from your experiences. Change Negative Thought Patterns. Engage in Self Care. Know When to Seek Help. If you are still being abused inform your family, friends, lecturers or university administration."
abusing,"Thinking about and accepting your past abuse can be very difficult, but it's the first step to healing from your experiences. Change Negative Thought Patterns. Engage in Self Care. Know When to Seek Help. If you are still being abused inform your family, friends, lecturers or university administration."
abussive,"Thinking about and accepting your past abuse can be very difficult, but it's the first step to healing from your experiences. Change Negative Thought Patterns. Engage in Self Care. Know When to Seek Help. If you are still being abused inform your family, friends, lecturers or university administration."
abused,"Thinking about and accepting your past abuse can be very difficult, but it's the first step to healing from your experiences. Change Negative Thought Patterns. Engage in Self Care. Know When to Seek Help. If you are still being abused inform your family, friends, lecturers or university administration."
harass,"Thinking about and accepting your past can be very difficult, but it's the first step to healing from your experiences. Change Negative Thought Patterns. Engage in Self Care. Know When to Seek Help. If you are still being abused inform your family, friends, lecturers or university administration."
harassment,"Thinking about and accepting your past can be very difficult, but it's the first step to healing from your experiences. Change Negative Thought Patterns. Engage in Self Care. Know When to Seek Help. If you are still being abused inform your family, friends, lecturers or university administration."
misbehave,"Thinking about and accepting your past can be very difficult, but it's the first step to healing from your experiences. Change Negative Thought Patterns. Engage in Self Care. Know When to Seek Help. If you are still being abused inform your family, friends, lecturers or university administration."
misbehaves,"Thinking about and accepting your past can be very difficult, but it's the first step to healing from your experiences. Change Negative Thought Patterns. Engage in Self Care. Know When to Seek Help. If you are still being abused inform your family, friends, lecturers or university administration."
misbehaving,"Thinking about and accepting your past can be very difficult, but it's the first step to healing from your experiences. Change Negative Thought Patterns. Engage in Self Care. Know When to Seek Help. If you are still being abused inform your family, friends, lecturers or university administration."
misbehaved,"Thinking about and accepting your past can be very difficult, but it's the first step to healing from your experiences. Change Negative Thought Patterns. Engage in Self Care. Know When to Seek Help. If you are still being abused inform your family, friends, lecturers or university administration."
torture,Inform your lecturers or university administrations. Take a stand. meditate and exercise regularly. 
torturing,Inform your lecturers or university administrations. Take a stand. meditate and exercise regularly. 
tortures,Inform your lecturers or university administrations. Take a stand. meditate and exercise regularly. 
totured,Inform your lecturers or university administrations. Take a stand. meditate and exercise regularly. 
bereavement,Find relatives and friends who can understand your feelings of loss. Accept that life is for the living. Don't offer false comfort. Take care of your health. Eat healthy food. Exercise and yoga will help you.
death,Find relatives and friends who can understand your feelings of loss. Accept that life is for the living. Don't offer false comfort. Take care of your health. Eat healthy food. Exercise and yoga will help you.
bereave,Find relatives and friends who can understand your feelings of loss. Accept that life is for the living. Don't offer false comfort. Take care of your health. Eat healthy food. Exercise and yoga will help you.
siscrimination,"Focus on your strengths. Focusing on your core values, beliefs and perceived strengths can motivate people to succeed, and may even buffer the negative effects of bias. Help yourself think clearly. Report it or inform your lecturer or university administrative."
aggressive,Set out clear expectations. Build rapport and be understanding. Show cultural sensitivity. Avoid negative talk. Don't assume or make judgments. Be encouraging.
aggressively,Set out clear expectations. Build rapport and be understanding. Show cultural sensitivity. Avoid negative talk. Don't assume or make judgments. Be encouraging.
harsh,Set out clear expectations. Build rapport and be understanding. Show cultural sensitivity. Avoid negative talk. Don't assume or make judgments. Be encouraging.
harshly,Set out clear expectations. Build rapport and be understanding. Show cultural sensitivity. Avoid negative talk. Don't assume or make judgments. Be encouraging.
alcohol,"Develop Healthy Habits. Eating a balanced diet and exercising regularly is another way of preventing alcohol addiction. Being healthy and active makes it easier for people to deal with life stresses. This in turn, reduces the temptation to rely on drugs and alcohol to deal with stress."
drugs,"Develop Healthy Habits. Eating a balanced diet and exercising regularly is another way of preventing drug addiction. Being healthy and active makes it easier for people to deal with life stresses. This in turn, reduces the temptation to rely on drugs and alcohol to deal with stress."
smoking,"Develop Healthy Habits. Eating a balanced diet and exercising regularly is another way of preventing smoking addiction. Being healthy and active makes it easier for people to deal with life stresses. This in turn, reduces the temptation to rely on drugs and alcohol to deal with stress."
violence,"Tell someone. If you are the victim or are witness to violence, tell someone. Take all violence and abuse seriously. Take a stand. Be an individual. Take back the power. Remember, putting others down doesn't raise you up."
bully,"Get away from the situation, and tell a trusted person or lecturers or university administration. Travel. Spent time with your favourite persons. Exercise regularly"
bullying,"Get away from the situation, and tell a trusted person or lecturers or university administration. Travel. Spent time with your favourite persons. Exercise regularly"
oppress,"Try to show yourself the same kindness and care you would want to show to someone (else) you love. Try to avoid using drugs and alcohol or other forms of ""checking out"" to manage your mood and stress, as this can lead to unwanted consequences and/or feeling disconnected."
oppressed,"Try to show yourself the same kindness and care you would want to show to someone (else) you love. Try to avoid using drugs and alcohol or other forms of ""checking out"" to manage your mood and stress, as this can lead to unwanted consequences and/or feeling disconnected."
oppressing,"Try to show yourself the same kindness and care you would want to show to someone (else) you love. Try to avoid using drugs and alcohol or other forms of ""checking out"" to manage your mood and stress, as this can lead to unwanted consequences and/or feeling disconnected."
oppressive,"Try to show yourself the same kindness and care you would want to show to someone (else) you love. Try to avoid using drugs and alcohol or other forms of ""checking out"" to manage your mood and stress, as this can lead to unwanted consequences and/or feeling disconnected."
oppression,"Try to show yourself the same kindness and care you would want to show to someone (else) you love. Try to avoid using drugs and alcohol or other forms of ""checking out"" to manage your mood and stress, as this can lead to unwanted consequences and/or feeling disconnected."
victim,"Find someone to talk with about how you feel and what you are going through. Allow yourself to feel the pain. Keep a journal. Spend time with others, but make time to spend time alone. Take care of your mind and body. Re-establish a normal routine as soon as possible, but don't over-do."
sleep,Wake up at the same time each day. Eliminate alcohol and stimulants like nicotine and caffeine. Limit naps. Exercise regularly. Do not eat or drink right before going to bed.
sleepless,Wake up at the same time each day. Eliminate alcohol and stimulants like nicotine and caffeine. Limit naps. Exercise regularly. Limit activities in bed. Do not eat or drink right before going to bed.
sadness,Exercise. Take a 15- to 30-minute brisk walk every day. Don't dwell on problems. It can feel good to talk through a problem with a caring friend. Express yourself. Notice good things.
sadfull,Exercise. Take a 15- to 30-minute brisk walk every day. Don't dwell on problems. It can feel good to talk through a problem with a caring friend. Express yourself. Notice good things.
painfull,Exercise. Take a 15- to 30-minute brisk walk every day. Don't dwell on problems. It can feel good to talk through a problem with a caring friend. Express yourself. Notice good things.
sad,Exercise. Take a 15- to 30-minute brisk walk every day. Don't dwell on problems. It can feel good to talk through a problem with a caring friend. Express yourself. Notice good things.
hopelessness,Consider That Your Brain Might Be Lying to You. Argue the Opposite. Think About What You Gain From Being Hopeless. Consider What You Could Gain From Developing Hope. Engage In Problem-Solving.
hopeless,Consider That Your Brain Might Be Lying to You. Argue the Opposite. Think About What You Gain From Being Hopeless. Consider What You Could Gain From Developing Hope. Engage In Problem-Solving.
hope,Consider That Your Brain Might Be Lying to You. Argue the Opposite. Think About What You Gain From Being Hopeless. Consider What You Could Gain From Developing Hope. Engage In Problem-Solving.
change,"Do not give up. Once you've decided to do something, continue to do it. Be consistent. Try not to overreact."
changing,"Do not give up. Once you've decided to do something, continue to do it. Be consistent. Try not to overreact."
changes,"Do not give up. Once you've decided to do something, continue to do it. Be consistent. Try not to overreact."
pressure,Work in short bursts. Exercise and eat well. Create a study plan. Avoid distraction. Get enough rest. Ask for help if you need to.
future,The first step to dealing with uncertainty is to accept that we can't control everything. Envision the Best. We often try to spare ourselves disappointment by thinking through how things could go wrong. Reflect. Avoid Avoidance (And Keep Moving!). See the Possibility.
panic,Take meditations. Use deep breathing. Practice mindfulness. Find a focus object. Use muscle relaxation techniques.
esteem,"Recognise what you're good at. We're all good at something, whether it's cooking, singing, doing puzzles or being a friend. Build positive relationships. Be kind to yourself. Learn to be assertive. Start saying ""no"" . Give yourself a challenge."
respect,"Recognise what you're good at. We're all good at something, whether it's cooking, singing, doing puzzles or being a friend. Build positive relationships. Be kind to yourself. Learn to be assertive. Start saying ""no"" . Give yourself a challenge."
peace,"Find a comfortable place to sit. Put one hand on your belly and one on your chest. Breathe in deeply from your belly, so that your stomach extends out but your chest stays in place. Hold this breath for a couple seconds and then breathe out. Repeat this sequence until you find a steady rhythm. Try to do this practice for 10 minutes every day."
peaceless,"Find a comfortable place to sit. Put one hand on your belly and one on your chest. Breathe in deeply from your belly, so that your stomach extends out but your chest stays in place. Hold this breath for a couple seconds and then breathe out. Repeat this sequence until you find a steady rhythm. Try to do this practice for 10 minutes every day."
peaceful,"Find a comfortable place to sit. Put one hand on your belly and one on your chest. Breathe in deeply from your belly, so that your stomach extends out but your chest stays in place. Hold this breath for a couple seconds and then breathe out. Repeat this sequence until you find a steady rhythm. Try to do this practice for 10 minutes every day."
overthinking,Notice When You're Stuck in Your Head. Overthinking can become such a habit that you don't even recognize when you're doing it. Keep the Focus on Problem-Solving. Challenge Your Thoughts. Schedule Time for Reflection. Learn Mindfulness Skills.
overthink,Notice When You're Stuck in Your Head. Overthinking can become such a habit that you don't even recognize when you're doing it. Keep the Focus on Problem-Solving. Challenge Your Thoughts. Schedule Time for Reflection. Learn Mindfulness Skills.
overthinks,Notice When You're Stuck in Your Head. Overthinking can become such a habit that you don't even recognize when you're doing it. Keep the Focus on Problem-Solving. Challenge Your Thoughts. Schedule Time for Reflection. Learn Mindfulness Skills.
blame,"Take responsibility, don't place blame. When you take responsibility for your actions, you accept that you made a mistake. Love yourself. Seek out help. Help others. Don't be critical. Forgive freely. Learn and move on."
blaming,"Take responsibility, don't place blame. When you take responsibility for your actions, you accept that you made a mistake. Love yourself. Seek out help. Help others. Don't be critical. Forgive freely. Learn and move on."
blamed,"Take responsibility, don't place blame. When you take responsibility for your actions, you accept that you made a mistake. Love yourself. Seek out help. Help others. Don't be critical. Forgive freely. Learn and move on."
blames,"Take responsibility, don't place blame. When you take responsibility for your actions, you accept that you made a mistake. Love yourself. Seek out help. Help others. Don't be critical. Forgive freely. Learn and move on."
