Tamil_Issues,Tamil_Solutions
மன அழுத்தம்,ஓய்வு அல்லது நண்பர்களுடன் நேரத்தை செலவிடுவது போன்ற நீங்கள் அனுபவிக்கும் செயல்பாடுகளுடன் பள்ளிப் பாடங்கள் போன்ற பொறுப்புகளை சமநிலைப்படுத்துங்கள். இது சமநிலையைப் பற்றியது: எல்லா வேலையும் எந்த விளையாட்டும் மோசமாக இல்லை. தினமும் உடற்பயிற்சி செய்ய நேரம் ஒதுக்குங்கள். சரியான தூக்கம் கிடைக்கும். அனிமேஷனைப் பார்ப்பதும் மன அழுத்தத்தைக் குறைக்க ஒரு நல்ல வழியாகும். தோட்டக்கலை போன்ற நிதானமான பொழுதுபோக்கைக் கண்டறிதல்.
மனச்சோர்வு,தொடர்ந்து உடற்பயிற்சி செய்யுங்கள். இது உங்களை தற்காலிகமாக உயர்த்துகிறது. போதுமான அளவு உறங்கு. ஆரோக்கியமாக சாப்பிடுங்கள். மதுசாரம் மற்றும் பிற போதைப்பொருட்களை தவிர்க்கவும். நிதானமான பொழுதுபோக்கைக் கண்டறிதல்
பொருளாதார,பணம் தொடர்பான மன அழுத்தத்தை நீங்கள் எவ்வாறு எதிர்கொள்கிறீர்கள் என்பதை அறிந்து கொள்ளுங்கள். சலனத்தைத் தவிர்க்கவும். முக்கியமானதை நினைவில் வையுங்கள். ஆதரவைக் கேளுங்கள். சரியான தூக்கம் கிடைக்கும். நல்ல இசையைக் கேளுங்கள்.
வருமானம்,பணம் தொடர்பான மன அழுத்தத்தை நீங்கள் எவ்வாறு எதிர்கொள்கிறீர்கள் என்பதை அறிந்து கொள்ளுங்கள். சலனத்தைத் தவிர்க்கவும். முக்கியமானதை நினைவில் வையுங்கள். ஆதரவைக் கேளுங்கள். சரியான தூக்கம் கிடைக்கும். நல்ல இசையைக் கேளுங்கள்.
பணம்,பணம் தொடர்பான மன அழுத்தத்தை நீங்கள் எவ்வாறு எதிர்கொள்கிறீர்கள் என்பதை அறிந்து கொள்ளுங்கள். சலனத்தைத் தவிர்க்கவும். முக்கியமானதை நினைவில் வையுங்கள். ஆதரவைக் கேளுங்கள். சரியான தூக்கம் கிடைக்கும். நல்ல இசையைக் கேளுங்கள்.
ஏழ்மை ,பணம் தொடர்பான மன அழுத்தத்தை நீங்கள் எவ்வாறு எதிர்கொள்கிறீர்கள் என்பதை அறிந்து கொள்ளுங்கள். சலனத்தைத் தவிர்க்கவும். முக்கியமானதை நினைவில் வையுங்கள். ஆதரவைக் கேளுங்கள். சரியான தூக்கம் கிடைக்கும். நல்ல இசையைக் கேளுங்கள்.
வறுமை,பணம் தொடர்பான மன அழுத்தத்தை நீங்கள் எவ்வாறு எதிர்கொள்கிறீர்கள் என்பதை அறிந்து கொள்ளுங்கள். சலனத்தைத் தவிர்க்கவும். முக்கியமானதை நினைவில் வையுங்கள். ஆதரவைக் கேளுங்கள். சரியான தூக்கம் கிடைக்கும். நல்ல இசையைக் கேளுங்கள்.
கோபம்,"பேசுவதற்கு முன் யோசி. நீங்கள் அமைதியாக உணர்ந்தால், உங்கள் கவலைகளை வெளிப்படுத்துங்கள். உரிய நேரம் எடுத்துக்கொள்ளுங்கள். பதற்றத்தை விடுவிக்க நகைச்சுவையைப் பயன்படுத்துங்கள். கார்ட்டூன்கள் அல்லது நகைச்சுவை வீடியோக்களைப் பாருங்கள். யோகா அல்லது சுவாசப் பயிற்சிகளைச் செய்யுங்கள்"
உணர்வுகளை மறைக்கிறேன்,உங்கள் உணர்வுகளை நேர்மையாக பகிர்ந்து கொள்ளுங்கள். நீங்கள் நம்பும் ஒருவரிடம் பேசுங்கள். உங்களை நன்றாக உணர சிரிக்கவும். ஒரு கண்ணாடியைக் கண்டுபிடித்து அதை வேடிக்கையாக்குங்கள். மூச்சுப் பயிற்சி செய்யுங்கள்.
தனிமை,உங்களுக்கு மகிழ்ச்சியைத் தரும் அனைத்து விஷயங்களையும் செய்யுங்கள். உங்களால் முடிந்தால் உங்கள் குடும்பத்தினர் அல்லது நண்பர்களுடன் பழகவும். புதியவர்களைச் சந்தித்து அவர்களுடன் நட்பாக இருங்கள். குறைந்த தனிமையை உணர ஒரு தன்னார்வ வாய்ப்பைக் கண்டறியவும். தனிப்பட்ட தொடர்புகளுடன் தனிமையைக் கடக்க உங்கள் பல்கலைக்கழக கிளப்பில் சேரவும்
ஓய்வில்லை ,உங்கள் நேரத்தை நிர்வகிக்கவும். உங்கள் செயல்பாடுகளுக்கு முன்னுரிமை கொடுப்பது உங்கள் நேரத்தை நன்றாகப் பயன்படுத்த உதவும். உங்களுக்காக நேரத்தை ஒதுக்குங்கள். மெல்லிசையைக் கேளுங்கள்
சுதந்திரம்,எப்போதும் தன்னார்வலராக இருங்கள். உங்கள் பல்கலைக்கழகத்தில் நியாயமான வர்த்தகத்தில் பங்கேற்கவும். மற்றவர்களின் கதைகளைக் கேளுங்கள். சமூக இயக்கங்களுடன் இணைந்திருங்கள்
பிரச்சனைகளை மறைக்கிறேன்,"ஊக்கமளிக்கும் பேச்சைப் பாருங்கள், நீங்கள் நம்பும் ஒருவருடன் பேசுங்கள். உங்கள் உணர்வுகளை நேர்மையாக பகிர்ந்து கொள்ளுங்கள்"
கூச்சம்,"கண் தொடர்பு, நம்பிக்கையான உடல் மொழி, அறிமுகங்கள், சிறிய பேச்சு, கேள்விகள் கேட்பது மற்றும் நீங்கள் மிகவும் வசதியாக இருக்கும் நபர்களுடன் அழைப்புகள் போன்ற சமூக நடத்தைகளைப் பயிற்சி செய்யுங்கள். புன்னகை. என்ன சொல்ல வேண்டும் என்று ஒத்திகை பார்க்கவும்."
வெட்கம் ,"கண் தொடர்பு, நம்பிக்கையான உடல் மொழி, அறிமுகங்கள், சிறிய பேச்சு, கேள்விகள் கேட்பது மற்றும் நீங்கள் மிகவும் வசதியாக இருக்கும் நபர்களுடன் அழைப்புகள் போன்ற சமூக நடத்தைகளைப் பயிற்சி செய்யுங்கள். புன்னகை. என்ன சொல்ல வேண்டும் என்று ஒத்திகை பார்க்கவும்."
பாதுகாப்பு,உங்கள் உணர்வுகளைத் தவிர்ப்பதற்குப் பதிலாக அவற்றை எதிர்கொள்ளுங்கள். பின்னடைவுகளுக்கு உங்களை தயார்படுத்துங்கள் ஆனால் அவர்கள் உங்களை கட்டுப்படுத்த அனுமதிக்காதீர்கள். உங்கள் குணாதிசயங்கள் மற்றும் உணர்வுகள் அனைத்தையும் ஏற்றுக்கொள்ளுங்கள். உங்கள் எதிர்மறை எண்ணங்களை சவால் செய்து விமர்சன ரீதியாக சிந்திக்கவும்.
பதட்டம்,சூழ்நிலையை எதிர்கொள்ளுங்கள். அமைதியாய் இருங்கள். ஆழ்ந்த மூச்சு விடுங்கள். நீங்கள் கற்றுக்கொண்டதைக் கருத்தில் கொள்ளுங்கள். சிரிக்கவும்
பதற்றம்,சூழ்நிலையை எதிர்கொள்ளுங்கள். அமைதியாய் இருங்கள். ஆழ்ந்த மூச்சு விடுங்கள். நீங்கள் கற்றுக்கொண்டதைக் கருத்தில் கொள்ளுங்கள். சிரிக்கவும்
முறைகேடு,உங்கள் குடும்பத்தினருடன் பேசுங்கள். உங்கள் விரிவுரையாளர்கள் அல்லது பல்கலைக்கழக நிர்வாகங்களுக்கு தெரிவிக்கவும். ஒரு நிலைப்பாட்டை எடு. தொடர்ந்து யோகா மற்றும் உடற்பயிற்சி செய்யுங்கள்.
துஷ்பிரயோகம்,உங்கள் குடும்பத்தினருடன் பேசுங்கள். உங்கள் விரிவுரையாளர்கள் அல்லது பல்கலைக்கழக நிர்வாகங்களுக்கு தெரிவிக்கவும். ஒரு நிலைப்பாட்டை எடு. தொடர்ந்து யோகா மற்றும் உடற்பயிற்சி செய்யுங்கள்.
தொந்தரவு,உங்கள் குடும்பத்தினருடன் பேசுங்கள். உங்கள் விரிவுரையாளர்கள் அல்லது பல்கலைக்கழக நிர்வாகங்களுக்கு தெரிவிக்கவும். ஒரு நிலைப்பாட்டை எடு. தொடர்ந்து யோகா மற்றும் உடற்பயிற்சி செய்யுங்கள்.
தொல்லை,உங்கள் குடும்பத்தினருடன் பேசுங்கள். உங்கள் விரிவுரையாளர்கள் அல்லது பல்கலைக்கழக நிர்வாகங்களுக்கு தெரிவிக்கவும். ஒரு நிலைப்பாட்டை எடு. தொடர்ந்து யோகா மற்றும் உடற்பயிற்சி செய்யுங்கள்.
துன்புறுத்தல் ,உங்கள் குடும்பத்தினருடன் பேசுங்கள். உங்கள் விரிவுரையாளர்கள் அல்லது பல்கலைக்கழக நிர்வாகங்களுக்கு தெரிவிக்கவும். ஒரு நிலைப்பாட்டை எடு. தொடர்ந்து யோகா மற்றும் உடற்பயிற்சி செய்யுங்கள்.
சித்திரவதை,உங்கள் குடும்பத்தினருடன் பேசுங்கள். உங்கள் விரிவுரையாளர்கள் அல்லது பல்கலைக்கழக நிர்வாகங்களுக்கு தெரிவிக்கவும். ஒரு நிலைப்பாட்டை எடு. தொடர்ந்து யோகா மற்றும் உடற்பயிற்சி செய்யுங்கள்.
இறப்பு,இழப்பின் உணர்வுகளைப் புரிந்துகொள்ளக்கூடிய உறவினர்கள் மற்றும் நண்பர்களைக் கண்டறியவும். நடந்தவற்றை ஏற்றுக்கொள்ளுங்கள். பொய்யான ஆறுதல் கூறாதீர்கள். உங்கள் ஆரோக்கியத்தை கவனித்துக் கொள்ளுங்கள். ஆரோக்கியமான உணவை உண்ணுங்கள். உடற்பயிற்சி மற்றும் யோகா உங்களுக்கு உதவும்.
இழப்பு ,இழப்பின் உணர்வுகளைப் புரிந்துகொள்ளக்கூடிய உறவினர்கள் மற்றும் நண்பர்களைக் கண்டறியவும். நடந்தவற்றை ஏற்றுக்கொள்ளுங்கள். பொய்யான ஆறுதல் கூறாதீர்கள். உங்கள் ஆரோக்கியத்தை கவனித்துக் கொள்ளுங்கள். ஆரோக்கியமான உணவை உண்ணுங்கள். உடற்பயிற்சி மற்றும் யோகா உங்களுக்கு உதவும்.
அநியாயம்,"உங்கள் பலங்களில் கவனம் செலுத்துங்கள். உங்கள் முக்கிய மதிப்புகள், நம்பிக்கைகள் மற்றும் உணரப்பட்ட பலம் ஆகியவற்றில் கவனம் செலுத்துவது வெற்றிபெற மக்களை ஊக்குவிக்கும், மேலும் சார்பு எதிர்மறையான விளைவுகளையும் தடுக்கலாம். தெளிவாக சிந்திக்க உதவுங்கள். அதைப் புகாரளிக்கவும் அல்லது உங்கள் விரிவுரையாளர் அல்லது பல்கலைக்கழக நிர்வாகத்திற்கு தெரிவிக்கவும்."
சமமாக நடத்துவதில்லை,உங்கள் பல்கலைக்கழகத்தில் விழிப்புணர்வு அமர்வுகளை நடத்தவும் அல்லது பங்கேற்கவும் அல்லது கலந்து கொள்ளவும். அனைவருடனும் நட்பாக இருக்க முயற்சி செய்யுங்கள்.
முரட்டுத்தனம்,தெளிவான எதிர்பார்ப்புகளை அமைக்கவும். நல்லுறவை வளர்த்து புரிந்து கொள்ளுங்கள். கலாச்சார உணர்வைக் காட்டுங்கள். எதிர்மறையான பேச்சைத் தவிர்க்கவும். அனுமானித்து முடிவுகளை எடுக்காதீர்கள்.
ஆக்ரோஷம்,தெளிவான எதிர்பார்ப்புகளை அமைக்கவும். நல்லுறவை வளர்த்து புரிந்து கொள்ளுங்கள். கலாச்சார உணர்வைக் காட்டுங்கள். எதிர்மறையான பேச்சைத் தவிர்க்கவும். அனுமானித்து முடிவுகளை எடுக்காதீர்கள்.
கடுமை,தெளிவான எதிர்பார்ப்புகளை அமைக்கவும். நல்லுறவை வளர்த்து புரிந்து கொள்ளுங்கள். கலாச்சார உணர்வைக் காட்டுங்கள். எதிர்மறையான பேச்சைத் தவிர்க்கவும். அனுமானித்து முடிவுகளை எடுக்காதீர்கள்.
மது அருந்துதல்,"ஆரோக்கியமான பழக்கங்களை வளர்த்துக் கொள்ளுங்கள். சீரான உணவை உட்கொள்வதும், தொடர்ந்து உடற்பயிற்சி செய்வதும் போதைப்பொருள் மற்றும் மதுவுக்கு அடிமையாவதைத் தடுப்பதற்கான மற்றொரு வழியாகும். ஆரோக்கியமாகவும் சுறுசுறுப்பாகவும் இருப்பது வாழ்க்கை அழுத்தங்களைச் சமாளிப்பதை எளிதாக்குகிறது."
புகைபிடித்தல்,"ஆரோக்கியமான பழக்கங்களை வளர்த்துக் கொள்ளுங்கள். சீரான உணவை உட்கொள்வதும், தொடர்ந்து உடற்பயிற்சி செய்வதும் போதைப்பொருள் மற்றும் மதுவுக்கு அடிமையாவதைத் தடுப்பதற்கான மற்றொரு வழியாகும். ஆரோக்கியமாகவும் சுறுசுறுப்பாகவும் இருப்பது வாழ்க்கை அழுத்தங்களைச் சமாளிப்பதை எளிதாக்குகிறது."
போதைப்பொருட்கள் ,"ஆரோக்கியமான பழக்கங்களை வளர்த்துக் கொள்ளுங்கள். சீரான உணவை உட்கொள்வதும், தொடர்ந்து உடற்பயிற்சி செய்வதும் போதைப்பொருள் மற்றும் மதுவுக்கு அடிமையாவதைத் தடுப்பதற்கான மற்றொரு வழியாகும். ஆரோக்கியமாகவும் சுறுசுறுப்பாகவும் இருப்பது வாழ்க்கை அழுத்தங்களைச் சமாளிப்பதை எளிதாக்குகிறது."
வன்முறை,"யாரிடமாவது சொல்லுங்கள். நீங்கள் பாதிக்கப்பட்டிருந்தால் அல்லது வன்முறைக்கு சாட்சியாக இருந்தால், யாரிடமாவது சொல்லுங்கள். வன்முறை மற்றும் துஷ்பிரயோகம் அனைத்தையும் தீவிரமாக எடுத்துக் கொள்ளுங்கள். அதிகாரத்தை திரும்பப் பெறுங்கள். நினைவில் கொள்ளுங்கள், மற்றவர்களை தாழ்த்துவது உங்களை உயர்த்தாது."
குடும்ப பிரச்சனைகள்,"பிரச்சினையை எதிர்த்துப் போராடுவது மதிப்புள்ளதா எனப் பாருங்கள். நிதானமாகப் பேச முடியாத அளவுக்கு கோபமாக இருந்தால் முதலில் அமைதியாக இருக்க முயற்சி செய்யுங்கள். கருத்து மோதலை தீர்ப்பது, வாதத்தில் வெற்றி பெறுவது அல்ல என்பதை நினைவில் கொள்ளுங்கள்."
கொடுமை,"சூழ்நிலையிலிருந்து விலகி, நம்பகமான நபர் அல்லது விரிவுரையாளர்கள் அல்லது பல்கலைக்கழக நிர்வாகத்திடம் சொல்லுங்கள். உங்களுக்கு பிடித்த நபர்களுடன் நேரத்தை செலவிடுங்கள். தவறாமல் உடற்பயிற்சி செய்யுங்கள்"
அடக்குமுறை,"சூழ்நிலையிலிருந்து விலகி, நம்பகமான நபர் அல்லது விரிவுரையாளர்கள் அல்லது பல்கலைக்கழக நிர்வாகத்திடம் சொல்லுங்கள். உங்களுக்கு பிடித்த நபர்களுடன் நேரத்தை செலவிடுங்கள். தவறாமல் உடற்பயிற்சி செய்யுங்கள்"
உறக்கம்,ஒவ்வொரு நாளும் ஒரே நேரத்தில் எழுந்திருங்கள். ஆல்கஹால் மற்றும் நிகோடின் மற்றும் காஃபின் போன்ற தூண்டுதல்களை அகற்றவும். தூக்கத்தை வரம்பிடவும். தொடர்ந்து உடற்பயிற்சி செய்யுங்கள். படுக்கைக்குச் செல்வதற்கு முன் உடனடியாக சாப்பிடவோ குடிக்கவோ கூடாது.
சோகம்,உங்கள் மூளை உங்களிடம் பொய் சொல்லக்கூடும் என்று கருதுங்கள். நம்பிக்கையற்றவர்களாக இருப்பதன் மூலம் நீங்கள் பெறுவதைப் பற்றி சிந்தியுங்கள். நம்பிக்கையை வளர்ப்பதன் மூலம் நீங்கள் எதைப் பெறலாம் என்பதைக் கவனியுங்கள். சிக்கலைத் தீர்ப்பதில் ஈடுபடுங்கள்.
கவலை  ,தினமும் 15 முதல் 30 நிமிடம் வரை வேகமாக நடக்கவும். பிரச்சனைகளில் மூழ்கி இருக்காதீர்கள். அக்கறையுள்ள நண்பருடன் ஒரு பிரச்சனையைப் பேசுவது நன்றாக இருக்கும். உங்களை வெளிப்படுத்துங்கள். நல்ல விஷயங்களை கவனியுங்கள்.
நம்பிக்கை,உங்கள் மூளை உங்களிடம் பொய் சொல்லக்கூடும் என்று கருதுங்கள். நம்பிக்கையற்றவர்களாக இருப்பதன் மூலம் நீங்கள் பெறுவதைப் பற்றி சிந்தியுங்கள். நம்பிக்கையை வளர்ப்பதன் மூலம் நீங்கள் எதைப் பெறலாம் என்பதைக் கவனியுங்கள். சிக்கலைத் தீர்ப்பதில் ஈடுபடுங்கள்.
அழுத்தம்,குறுகிய காலத்தில் வேலை செய்யுங்கள். உடற்பயிற்சி செய்து நன்றாக சாப்பிடுங்கள். படிப்புக்கான ஒரு திட்டத்தை உருவாக்கவும். கவனச்சிதறலைத் தவிர்க்கவும். போதுமான ஓய்வு எடுத்துக் கொள்ளுங்கள். உங்களுக்கு உதவி தேவைப்பட்டால் கேளுங்கள்.
பீதி,தியானங்களை மேற்கொள்ளுங்கள். ஆழ்ந்த சுவாசத்தைப் பயன்படுத்தவும். நினைவாற்றலைப் பழகுங்கள். கவனம் செலுத்த ஒரு பொருளைக் கண்டறியவும். தசை தளர்வு நுட்பங்களைப் பயன்படுத்தவும்.
மரியாதை,இடைவிடாமல் சுறுசுறுப்பாக இருங்கள். மற்றவர்களின் வழிகாட்டுதலுக்காக எப்போதும் காத்திருக்க வேண்டாம். உங்கள் வாக்குறுதிகளை காப்பாற்றுங்கள். மற்றவர்களின் நேரத்தை வீணாக்காதீர்கள். வதந்திகளை உடனடியாக நிறுத்துங்கள். பணிவுடன் பழகுங்கள்.
சுயமரியாதை ,"நீங்கள் எதில் சிறந்தவர் என்பதை அறிந்து கொள்ளுங்கள். சமைப்பதா, பாடுவதா, புதிர் போடுவதா, நட்பாக இருப்பதா என, நாம் அனைவரும் ஏதாவது ஒரு விஷயத்தில் நன்றாக இருக்கிறோம். நேர்மறையான உறவுகளை உருவாக்குங்கள். உங்களுக்கு நீங்கள் இரக்கமானவனாய் இருங்கள். உறுதியுடன் இருக்க கற்றுக்கொள்ளுங்கள்."
அமைதி,"உட்கார வசதியான இடத்தைக் கண்டுபிடியுங்கள். ஒரு கையை உங்கள் வயிற்றிலும் ஒரு கையை உங்கள் மார்பிலும் வைக்கவும். உங்கள் வயிற்றில் இருந்து ஆழமாக சுவாசிக்கவும், இதனால் உங்கள் வயிறு நீண்டு செல்லும் ஆனால் உங்கள் மார்பு அப்படியே இருக்கும். இந்த மூச்சை ஓரிரு வினாடிகள் பிடித்து, பின்னர் மூச்சை வெளியே விடவும். நீங்கள் ஒரு நிலையான தாளத்தைக் கண்டுபிடிக்கும் வரை இந்த வரிசையை மீண்டும் செய்யவும். இந்த பயிற்சியை தினமும் 10 நிமிடங்கள் செய்ய முயற்சிக்கவும்."
யோசனை,"யோசனையில் சிக்கியிருக்கும் போது கவனியுங்கள். மிகையாக சிந்திப்பது ஒரு பழக்கமாக மாறிவிடும், அதை நீங்கள் செய்யும் போது கூட உங்களால் அடையாளம் காண முடியாது. சிக்கலைத் தீர்ப்பதில் கவனம் செலுத்துங்கள். உங்கள் எண்ணங்களுக்கு சவால் விடுங்கள். பிரதிபலிப்புக்கான நேரத்தை திட்டமிடுங்கள்."
பழி,"உங்கள் செயல்களுக்கு நீங்கள் பொறுப்பேற்கும்போது, ​​நீங்கள் தவறு செய்ததாக ஒப்புக்கொள்கிறீர்கள். உங்களை நேசிக்கவும். உதவியை நாடுங்கள். மற்றவர்களுக்கு உதவுங்கள். விமர்சனம் வேண்டாம். சுதந்திரமாக மன்னியுங்கள். கற்றுக்கொண்டு முன்னேறுங்கள்."
குற்றம்,"உங்கள் செயல்களுக்கு நீங்கள் பொறுப்பேற்கும்போது, ​​நீங்கள் தவறு செய்ததாக ஒப்புக்கொள்கிறீர்கள். உங்களை நேசிக்கவும். உதவியை நாடுங்கள். மற்றவர்களுக்கு உதவுங்கள். விமர்சனம் வேண்டாம். சுதந்திரமாக மன்னியுங்கள். கற்றுக்கொண்டு முன்னேறுங்கள்."
